Event ID,Timestamp,Source IP,Destination IP,User Agent,Attack Type,Attack Severity,Data Exfiltrated,Threat Intelligence,Response Action
ee85ce7a-599d-4ade-b858-bc6571d01946,2021-10-22 17:49:47,162.204.213.251,76.30.131.59,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/533.41.7 (KHTML, like Gecko) Version/5.0.1 Safari/533.41.7",Ransomware,Low,True,Hour second lead camera give.,Blocked
0865856b-bc2c-494b-89dc-fe84afc47880,2023-11-14 12:30:22,11.125.111.85,9.133.6.81,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.1),Phishing,Medium,False,Respond assume structure manager.,Recovered
13c67907-3950-4491-b0ec-7f201a5a2c8e,2020-05-17 17:11:34,30.70.61.168,157.200.116.60,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_6 rv:4.0; ln-CD) AppleWebKit/532.7.6 (KHTML, like Gecko) Version/4.0.5 Safari/532.7.6",Ransomware,High,False,Mouth much image trial course where.,Eradicated
faa130f4-7370-49cd-b229-2c9bb73e5b47,2022-09-20 10:47:24,118.62.13.57,110.126.177.246,Opera/9.26.(X11; Linux i686; ml-IN) Presto/2.9.182 Version/11.00,Ransomware,High,True,Well record kitchen.,Contained
d0a16873-135d-40f7-b3f5-b55568862eef,2023-10-15 17:44:22,198.205.129.160,24.162.131.220,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_9 rv:2.0; mhr-RU) AppleWebKit/532.11.7 (KHTML, like Gecko) Version/4.0.1 Safari/532.11.7",DDoS,High,False,Attention need power people resource leader.,Blocked
ba39c8a2-57de-42a7-af15-bf4dbee8c2e0,2020-10-15 18:39:44,110.89.176.222,162.21.1.255,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/58.0.809.0 Safari/535.0",Insider Threat,High,False,Anything us imagine audience.,Recovered
89c566d0-7248-4a5b-a466-9d412c5c233b,2022-01-16 07:02:54,20.181.195.118,153.183.52.31,"Mozilla/5.0 (Windows; U; Windows NT 10.0) AppleWebKit/535.15.2 (KHTML, like Gecko) Version/5.1 Safari/535.15.2",Insider Threat,Low,False,Class many others change.,Contained
ac7e53a1-b544-49c0-a631-647093e4551c,2022-05-05 00:36:33,12.231.253.14,67.207.40.93,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_7 rv:4.0; sr-ME) AppleWebKit/534.24.6 (KHTML, like Gecko) Version/4.1 Safari/534.24.6",Ransomware,High,False,Ball single day again produce fire eat.,Contained
96fe3e89-dc4d-433e-b9b7-a7c9118ca048,2023-02-26 23:15:09,13.177.48.170,37.250.19.247,Opera/8.84.(Windows NT 5.1; byn-ER) Presto/2.9.161 Version/11.00,Malware,Low,False,Office write window.,Recovered
6fa215fb-33d0-43a1-be79-cc8a839b45e9,2022-01-18 08:03:20,119.30.96.168,132.115.186.201,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/17.3b0252.0 Mobile/90B505 Safari/532.1",Phishing,Low,False,Well include speech plant send.,Eradicated
a9c01640-3c88-4d85-8681-da0d59f58bc1,2023-01-11 05:29:24,162.127.68.206,202.16.95.195,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/42.0.822.0 Mobile/39S600 Safari/536.1",DDoS,High,False,Total lay involve main hot know.,Eradicated
e0cf69ee-4a6e-4cd6-bfed-f4987c5d1c3d,2020-09-04 19:00:06,4.147.246.253,28.216.8.98,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_2; rv:1.9.3.20) Gecko/2020-06-27 03:40:35 Firefox/3.6.16,Malware,High,False,National design card city good owner become.,Blocked
0ea377f7-e117-4d17-9269-3650c0c6faa0,2021-08-23 08:48:54,2.244.70.142,102.0.88.217,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/4.1),Insider Threat,Critical,False,People amount including value upon.,Recovered
af42a5bc-cf0f-4488-b996-e2c5f06ce2e2,2021-11-18 22:38:02,99.213.106.16,153.97.100.7,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_3 rv:4.0; ky-KG) AppleWebKit/531.40.2 (KHTML, like Gecko) Version/4.0 Safari/531.40.2",Insider Threat,High,True,Show walk however hour natural pull.,Eradicated
dc722cee-723a-4c62-b4e9-833b65d22067,2021-03-02 00:49:35,158.63.150.213,81.213.139.57,Opera/9.94.(Windows 98; Win 9x 4.90; az-IN) Presto/2.9.160 Version/10.00,Malware,Critical,False,From somebody within their account responsibility no.,Recovered
1235adf3-f83c-4669-8138-9d20a153f4ee,2022-04-28 15:48:15,219.175.116.245,132.195.253.228,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_10_1 rv:6.0; lij-IT) AppleWebKit/534.2.3 (KHTML, like Gecko) Version/5.0.4 Safari/534.2.3",Phishing,Critical,True,Large certain change area.,Blocked
04b1786e-b4bb-4635-adf5-d10f38ed1979,2024-01-13 08:11:35,11.94.62.92,223.231.96.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/15.2p6857.0 Mobile/21Y078 Safari/534.2",DDoS,Low,False,Usually director write.,Blocked
d2d863eb-ad3a-4cda-a54f-f91a44186941,2020-02-20 04:21:35,20.213.218.31,195.78.243.50,Opera/9.78.(Windows NT 10.0; ln-CD) Presto/2.9.164 Version/11.00,DDoS,Critical,True,Issue who interest traditional who score.,Contained
ffa1f01e-602a-47c2-b231-f11591dd18bb,2022-08-04 01:12:02,145.172.126.238,136.57.54.216,"Mozilla/5.0 (iPad; CPU iPad OS 14_2 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/17.8j1835.0 Mobile/89M552 Safari/531.2",DDoS,Low,False,Box kind suggest machine as skin.,Recovered
c7d82b07-626f-44ae-a79c-f78ad15a9069,2021-07-09 07:25:03,153.1.115.199,83.109.128.12,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/15.0q4528.0 Mobile/74X760 Safari/532.2",Ransomware,Low,False,Include TV offer factor term may.,Contained
3ee934b5-b679-4b04-a054-3de3a50af4eb,2022-04-07 18:56:00,149.223.39.3,34.125.56.143,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_6 rv:5.0; ky-KG) AppleWebKit/533.7.1 (KHTML, like Gecko) Version/4.1 Safari/533.7.1",Ransomware,Low,False,Support maintain give store likely office very.,Blocked
cedaf286-93a6-4c9f-a183-4f29279428c8,2020-08-03 17:35:55,181.17.120.242,58.81.68.202,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; oc-FR) AppleWebKit/531.24.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6531.24.3",DDoS,Low,False,Type business thus operation continue.,Eradicated
7c6e4cf0-1448-451f-a0b3-af31b359c66e,2020-03-02 07:03:23,210.25.74.98,211.3.114.46,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.0),Insider Threat,High,False,Three resource than attorney world.,Blocked
0d2c05ab-3d10-4552-9bd3-965567dccfd5,2023-11-30 14:25:29,161.91.52.15,200.149.160.141,Opera/8.55.(X11; Linux i686; nds-DE) Presto/2.9.186 Version/11.00,Malware,Critical,False,Loss coach perhaps success commercial finally.,Contained
010f4df1-cff8-4d69-a85b-ec838e04a3af,2023-02-24 13:29:49,151.208.252.33,212.42.228.164,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.2; Trident/5.1),Ransomware,Medium,False,Follow together itself serve.,Recovered
beca4ec6-581a-473d-a88b-ffef7adf9a49,2021-01-17 20:47:29,76.238.142.103,207.67.105.232,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/531.34.7 (KHTML, like Gecko) Version/5.0 Safari/531.34.7",Ransomware,Low,False,Southern more yard possible piece since minute attack.,Eradicated
d15f2787-ea17-4969-ae60-5a88b6821cf7,2022-03-22 19:17:24,143.241.230.232,162.137.97.132,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2013-04-21 10:55:10 Firefox/8.0,Phishing,Low,False,Away heart market organization.,Eradicated
47a68cd9-8bda-45c2-ae6e-a8c85c28bc25,2023-08-15 22:11:47,38.14.47.12,116.188.237.101,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/40.0.877.0 Safari/531.0",Phishing,Critical,False,Think may subject that case law leader.,Recovered
56f39288-ff6f-4d07-ba03-fe24ff2fac64,2021-12-14 19:48:54,91.134.232.91,3.4.190.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5 rv:5.0; ve-ZA) AppleWebKit/531.48.6 (KHTML, like Gecko) Version/4.0 Safari/531.48.6",Insider Threat,High,False,Attack others region significant subject notice.,Eradicated
83f5bb91-56b3-43dd-94dd-08148157d2d6,2023-05-03 05:17:42,135.73.156.39,48.112.49.47,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_7; rv:1.9.2.20) Gecko/2020-04-06 11:33:54 Firefox/3.8,Malware,Medium,False,Rule interview speak marriage fly change show.,Recovered
db74b1a7-1ef0-4682-abf7-6602a51e1209,2023-12-26 02:46:10,88.225.79.250,36.122.65.15,Opera/9.22.(X11; Linux x86_64; bem-ZM) Presto/2.9.171 Version/11.00,DDoS,Low,False,Character magazine clear carry step issue.,Blocked
36f5bf6c-c8dc-4038-85e6-c03c9a376422,2020-10-07 13:11:33,122.9.5.45,200.234.177.84,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4 rv:2.0; eu-ES) AppleWebKit/534.5.2 (KHTML, like Gecko) Version/4.0 Safari/534.5.2",DDoS,High,False,Security garden leg easy dinner yes network.,Blocked
171b0389-e323-4576-bae2-e9811ffd939e,2023-04-03 13:25:43,45.98.144.49,206.148.115.106,Opera/9.36.(Windows NT 5.1; fi-FI) Presto/2.9.181 Version/11.00,Insider Threat,Medium,False,High catch crime.,Eradicated
0e88d381-9b5f-4f82-b5b4-d80acf093ffc,2022-05-22 04:39:22,182.157.48.203,125.60.235.87,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.1),Ransomware,Critical,False,Set focus same stuff enough agency become.,Recovered
98b30f67-9abd-4d92-970b-777ae239b6ed,2021-10-18 05:38:09,123.219.141.142,19.198.27.249,"Mozilla/5.0 (Linux; Android 4.0.4) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/27.0.856.0 Safari/536.1",Ransomware,Critical,False,After stay peace resource.,Recovered
8bb1144c-f34c-4225-a145-ad67c996b4b0,2021-07-25 02:02:54,11.113.95.58,113.176.71.127,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_1) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/25.0.802.0 Safari/534.2",Insider Threat,Critical,False,Million address down.,Recovered
10e7edbc-85ce-4a72-976f-e4c33db0d046,2023-12-31 04:39:31,56.233.202.143,111.81.210.4,Mozilla/5.0 (Android 2.0; Mobile; rv:66.0) Gecko/66.0 Firefox/66.0,Malware,Medium,False,Which value industry note hard.,Contained
64226dee-05c1-4e92-9201-9504a79693bf,2021-12-31 02:21:51,69.33.71.90,42.211.169.245,Opera/8.46.(Windows NT 6.2; cmn-TW) Presto/2.9.184 Version/10.00,Ransomware,High,False,Popular cost field bag hope simple.,Eradicated
2e273dc5-eaeb-4966-92aa-51f7eab8a5cb,2020-11-13 01:40:50,21.87.199.245,128.206.153.184,Opera/9.11.(X11; Linux i686; mi-NZ) Presto/2.9.169 Version/10.00,Ransomware,Medium,True,Whose road hope huge show child evidence truth.,Blocked
7ceb4cb6-ce90-449a-bda2-0c9d644f5ad8,2023-08-07 08:46:12,23.182.170.138,95.16.246.88,"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/61.0.835.0 Mobile/13F373 Safari/532.2",Phishing,Low,False,Win call receive face indicate care.,Eradicated
3083f381-e57c-40bc-a3ce-678d3f822bbf,2021-12-03 23:32:15,44.180.145.27,205.157.103.71,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/32.0.827.0 Safari/531.2",Phishing,Critical,False,Fight plant manager something strategy manage.,Blocked
72963858-acbf-466a-a799-f51b5d77065f,2021-05-10 10:38:34,78.230.133.103,63.125.92.147,"Mozilla/5.0 (Windows 98) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/15.0.828.0 Safari/535.0",Malware,Low,False,Poor resource wife go similar environmental.,Recovered
d1f3cd00-574f-4799-9d12-439d0ba2ebae,2021-12-21 17:50:52,53.84.126.211,191.52.68.233,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; hsb-DE) AppleWebKit/534.8.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6534.8.2",Ransomware,Low,False,Blue floor mother tend entire and almost at.,Recovered
481385e1-9e89-459f-8acc-91eb8aaf1683,2022-12-10 13:40:40,188.79.51.108,68.105.101.123,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_8) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/21.0.894.0 Safari/534.0",DDoS,Critical,False,Economic newspaper five.,Blocked
3937e15d-38a3-4b9a-aca7-f4d9d61cb911,2022-12-08 11:18:29,99.187.73.190,95.32.146.4,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) CriOS/31.0.834.0 Mobile/22O676 Safari/535.0",Ransomware,Low,False,Itself teacher agree society once common.,Blocked
da5cc52e-6b3c-4d5d-a95f-e417ec7a1566,2023-10-20 00:07:18,189.103.116.233,76.196.118.104,"Mozilla/5.0 (Windows 95) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/16.0.844.0 Safari/534.0",Malware,Low,False,Place anything night difference summer morning.,Contained
27dafad8-c135-4188-8449-909e74bfdb06,2021-11-14 23:28:44,180.144.63.143,185.164.109.205,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ayc-PE) AppleWebKit/533.20.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.20.4",Insider Threat,High,False,Spend grow whose response six.,Blocked
a9274aa2-1eed-4761-91c5-2757abdebb75,2020-12-27 12:29:41,9.7.48.252,118.183.146.170,Opera/9.56.(X11; Linux i686; ik-CA) Presto/2.9.181 Version/10.00,Insider Threat,Critical,False,Audience allow happen agent serve.,Recovered
759ad54f-f271-4799-90ec-7fa082783846,2022-09-20 20:43:00,136.50.128.187,190.207.139.228,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/15.0.843.0 Safari/533.1",Malware,Medium,True,Deal me pay seat step shoulder.,Eradicated
d1a868a8-8061-40a7-9c10-83f093c1a0d0,2024-01-23 14:33:20,116.72.249.18,95.255.171.20,Opera/8.83.(X11; Linux x86_64; km-KH) Presto/2.9.169 Version/12.00,Phishing,Medium,False,Republican contain customer push above character policy.,Contained
f164d2c5-4c6c-4672-bd70-7959e7cf3e45,2020-08-25 21:16:50,182.124.25.239,56.184.149.248,Opera/9.66.(X11; Linux x86_64; raj-IN) Presto/2.9.163 Version/11.00,DDoS,Low,True,Development at final here hope customer.,Blocked
52652b2f-a5ca-4c6e-9084-37503d2096f6,2021-12-08 14:49:07,75.77.179.59,200.58.94.54,Opera/8.23.(X11; Linux i686; th-TH) Presto/2.9.168 Version/12.00,Ransomware,Low,False,Win several idea notice check office.,Recovered
3768f66d-43ab-43ef-9361-ada0023fcb69,2021-09-18 23:06:12,223.229.77.180,76.162.194.154,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),Insider Threat,Medium,False,Control marriage detail describe.,Eradicated
3861492e-4cbe-4996-85fd-da507c2d5e7b,2023-07-10 03:17:08,172.31.10.81,136.55.204.38,Opera/9.99.(Windows NT 5.0; ln-CD) Presto/2.9.189 Version/12.00,Ransomware,Critical,False,Camera strong mother recently successful and much.,Blocked
97459860-2e63-4ea3-94e8-b80719b8310f,2022-02-15 16:57:34,48.2.250.141,15.42.185.71,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_9; rv:1.9.3.20) Gecko/2022-05-18 13:29:07 Firefox/9.0,Ransomware,High,False,Concern prevent will room.,Contained
c7cbcbf5-df82-43b1-859b-24cd180ee0e2,2021-11-05 11:04:15,117.127.43.234,159.40.140.157,Opera/9.87.(X11; Linux i686; tg-TJ) Presto/2.9.180 Version/11.00,Phishing,High,False,Head various then million.,Recovered
d25f0d92-a30d-45d1-8bb1-acc572a75cf4,2022-09-29 13:33:10,98.137.222.16,81.27.244.136,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/61.0.803.0 Safari/536.2",Malware,Critical,False,Young size his too west not.,Blocked
e7f74527-c292-44a4-93e3-c7e856d18de1,2022-06-17 16:16:47,31.174.139.44,104.23.159.177,Mozilla/5.0 (Android 2.3; Mobile; rv:48.0) Gecko/48.0 Firefox/48.0,DDoS,Low,False,Red lot nearly once.,Eradicated
3a40d7df-da26-4b6e-8c85-457f4d11e018,2024-01-01 16:18:36,176.103.47.9,143.193.93.118,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2023-07-25 06:04:26 Firefox/3.6.10,DDoS,Critical,False,Hundred need available certainly it impact through.,Blocked
8e2769be-a16b-43f2-83ba-85b05a443284,2022-05-20 01:56:37,66.73.58.187,41.65.104.23,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_0; rv:1.9.2.20) Gecko/2010-06-08 20:55:21 Firefox/3.8,Malware,Critical,False,Stuff serious current physical.,Contained
b5a22e0e-7ee2-4731-ae2a-bd85c0948811,2021-02-11 02:40:35,41.53.141.176,62.93.22.53,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/16.0.862.0 Safari/531.2",Ransomware,Medium,False,Data nothing others actually oil give.,Eradicated
085220a3-894b-4b93-b21e-f68fbc7113c6,2020-12-14 11:02:50,115.255.178.55,97.80.103.1,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2012-12-10 21:26:27 Firefox/10.0,Insider Threat,Medium,True,Performance long hear resource wear produce.,Blocked
b5896a98-146c-4719-a894-b1bcf432db93,2020-11-29 13:55:42,81.45.163.160,33.134.170.7,Opera/9.28.(Windows NT 5.0; te-IN) Presto/2.9.183 Version/11.00,Malware,High,False,Similar measure why man up.,Blocked
91088010-5ed4-432b-b1bf-921729dcc898,2021-08-25 09:31:46,82.176.167.140,221.210.215.191,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/4.1),Insider Threat,High,False,Budget care experience film even before responsibility.,Eradicated
25690079-a8c0-4ef1-b9f1-1d1b51bf86ba,2022-12-26 16:21:39,200.63.168.1,190.149.81.205,"Mozilla/5.0 (Windows 95) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/45.0.825.0 Safari/533.0",Malware,High,False,Tv affect apply hope result nearly read.,Recovered
4dd07e5c-6c99-4f9e-9fd2-22231494cf36,2021-09-16 04:09:56,169.156.141.30,19.250.86.4,Mozilla/5.0 (Android 7.1.1; Mobile; rv:42.0) Gecko/42.0 Firefox/42.0,Insider Threat,High,False,Lay color interest really.,Blocked
77ac7d11-0479-4971-95ad-ea34bfe82163,2023-11-24 02:05:07,111.156.151.148,89.8.127.106,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ht-HT) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6534.31.3",DDoS,Critical,False,Authority usually us.,Contained
544005f2-3b0d-4b53-8e9a-488dc4caaf31,2023-05-26 11:37:17,190.102.253.89,72.70.252.41,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/25.0.881.0 Safari/535.0",Insider Threat,High,False,Speech agreement score look.,Contained
82cc7467-0058-4212-a8a1-6194536b112f,2021-12-05 03:18:51,117.209.180.127,32.189.203.202,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.23.5 (KHTML, like Gecko) Version/5.1 Safari/531.23.5",Insider Threat,Critical,False,Drive put little husband.,Blocked
2b3261e9-9a92-44e1-b328-2acbfd0cc41e,2021-01-02 08:53:26,198.16.99.216,159.24.59.185,"Mozilla/5.0 (Linux; Android 4.4.2) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/18.0.849.0 Safari/535.2",Phishing,Low,False,Yeah carry security ability sport people explain.,Contained
b61947c7-aefd-4a3b-94dd-27b91071b24f,2023-07-28 16:26:58,111.118.70.54,49.106.92.176,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/531.48.1 (KHTML, like Gecko) Version/4.0 Safari/531.48.1",DDoS,High,True,Leave create decade seek.,Blocked
f730e6e2-3cc7-48b7-aaea-718908f07745,2021-08-04 10:48:29,70.46.5.75,81.227.176.169,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/3.0),Malware,Medium,False,Training down street.,Blocked
35d717d6-7528-4b04-acb4-f26a748398dc,2023-07-08 21:56:31,95.125.105.158,53.23.20.18,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; sc-IT) AppleWebKit/531.35.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6531.35.3",Insider Threat,Critical,False,Pull raise natural green attention performance huge standard.,Contained
2e8718b1-4a9f-4c04-aabe-a9c00c5b635e,2024-01-24 01:11:19,173.3.137.78,43.41.167.83,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_5 rv:6.0; lt-LT) AppleWebKit/531.14.2 (KHTML, like Gecko) Version/4.0 Safari/531.14.2",DDoS,High,False,Such suggest trial themselves big poor worry tax.,Contained
7c8244d4-8c16-4ebb-953a-ba92f344761d,2020-01-25 14:11:18,23.75.140.111,158.187.25.228,Opera/8.93.(X11; Linux x86_64; nr-ZA) Presto/2.9.162 Version/11.00,Ransomware,High,False,Care hour before.,Contained
54cb1018-01a0-4e79-92e0-a55077e7ac88,2022-01-12 16:37:02,88.1.42.220,55.143.60.37,Mozilla/5.0 (Android 3.2.2; Mobile; rv:12.0) Gecko/12.0 Firefox/12.0,Insider Threat,Critical,False,Everything thing pretty help work.,Eradicated
e6836aa7-dae7-49e8-8303-ae01a3ebdcf9,2020-11-15 02:18:40,201.185.37.246,181.189.172.33,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3 rv:4.0; kok-IN) AppleWebKit/533.17.1 (KHTML, like Gecko) Version/4.1 Safari/533.17.1",DDoS,Medium,False,Company yard put certain trouble.,Contained
68512d40-12b9-4e1b-8422-ca956d820471,2023-07-06 22:45:13,38.36.149.84,64.46.243.63,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0 rv:6.0; bho-IN) AppleWebKit/531.44.7 (KHTML, like Gecko) Version/4.1 Safari/531.44.7",Phishing,Critical,False,Card fight present miss far model media.,Recovered
520e5008-355d-4d65-b7cd-c6b39d7c9b2d,2021-05-17 15:01:11,4.187.138.62,53.74.173.167,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/37.0.811.0 Safari/533.0",Insider Threat,Critical,True,Skill fall seek moment.,Recovered
379c9b1d-1e9a-4de4-8e59-8d93365f7b5a,2023-11-24 01:49:08,113.176.170.212,25.19.240.88,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_2 rv:2.0; mhr-RU) AppleWebKit/534.36.6 (KHTML, like Gecko) Version/4.0 Safari/534.36.6",DDoS,Critical,False,Themselves military food parent require teach reason new.,Recovered
6d802ac1-063b-494f-acae-6a00e3b2e858,2020-08-08 22:26:26,64.224.79.10,95.227.23.58,Opera/9.25.(Windows NT 5.01; pt-BR) Presto/2.9.168 Version/11.00,Malware,Medium,True,Light management approach.,Eradicated
93fb8388-3980-4ce8-9353-59b143f1d255,2023-12-27 11:57:51,221.0.99.45,168.156.27.226,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; uk-UA) AppleWebKit/533.6.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6533.6.6",DDoS,Medium,False,Effort pattern pass us college can.,Recovered
